% Model:              Case1_first.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 19 2026, 23:31
% Dimension:          1
% Nodes:              41
% Expressions:        4
% Description:        Concentration, Concentration, Concentration, Concentration
% x                       Ca (mol/m^3) @ t=720     Cl (mol/m^3) @ t=720     K (mol/m^3) @ t=720      Na (mol/m^3) @ t=720
0                         0.6                      1.2                      0                        0
0.001999999999999999      0.44513977695096274      0.8902795543323643       0.05162007456367003      0.2581003714423897
0.003999999999999998      0.24966852077367543      0.49933704192184075      0.11677715906532178      0.5838857984859246
0.0059999999999999975     0.10083330562985438      0.20166661037782208      0.16638889567380263      0.8319444912771832
0.007999999999999997      0.028987962808348675     0.05797592438673323      0.19033734490932547      0.9516867292546967
0.009999999999999995      0.00616015677914304      0.012320314772644296     0.1979466184155567       0.989733070667907
0.011999999999999993      0.0010410885187442525    0.002082177568077937     0.19965297481181285      0.9982648519028001
0.01399999999999999       1.4883117075835696E-4    2.9766222157346484E-4    0.1999503859546389       0.9997519479666371
0.015999999999999986      1.8075920786124057E-5    3.614857999695518E-5     0.19999395920901836      0.9999698765824063
0.017999999999999985      1.6863491821506162E-6    3.341561574578977E-6     0.1999994281682814       0.9999972101576705
0.019999999999999983      1.4583574217632475E-8    6.107307889120226E-8     0.20000001868906853      0.9999999543304314
0.02199999999999998       -3.7240860466526296E-8   -7.01876616557066E-8     0.20000001347284435      1.000000059660084
0.023999999999999976      3.549335831061611E-9     4.007797496084322E-9     0.19999999763902918      0.9999999959954344
0.025999999999999975      1.1565308946386065E-9    2.6827664006438905E-9    0.19999999983102942      0.9999999977927069
0.027999999999999973      -4.066605797896485E-10   -7.422076816361374E-10   0.20000000013587146      1.000000000649621
0.02999999999999997       4.042969694299644E-11    4.302797322718721E-11    0.19999999997723666      0.9999999999541714
0.031999999999999966      8.541623387532694E-12    2.4641193952166083E-11   0.19999999999940435      0.9999999999808586
0.03399999999999997       -4.019828803298198E-12   -8.581081391255895E-12   0.20000000000117482      1.0000000000071863
0.03599999999999996       6.819792363064115E-13    1.213566258081149E-12    0.19999999999971857      0.9999999999989183
0.03799999999999996       -1.8786692909090036E-15  5.578411764383232E-14    0.2000000000000208       0.9999999999999727
0.03999999999999996       -3.210912851688138E-14   -7.309223253684309E-14   0.20000000000000828      1.000000000000058
0.04199999999999996       9.793401253528423E-15    1.9169649005557912E-14   0.1999999999999961       0.9999999999999838
0.04399999999999996       -1.4594479703880015E-15  -2.331007775913641E-15   0.2000000000000008       1.0000000000000018
0.045999999999999965      -3.094786635422532E-17   -2.2660242082038954E-16  0.19999999999999987      0.9999999999999999
0.047999999999999966      8.90369829343918E-17     2.0012438305254023E-16   0.19999999999999996      0.9999999999999997
0.04999999999999997       -3.033281585573863E-17   -5.882138927655352E-17   0.2                      1
0.05199999999999997       6.4309662468432096E-18   1.0856179469166728E-17   0.2                      1
0.05399999999999997       -8.290933140049529E-19   -9.932999080754092E-19   0.2                      1
0.05599999999999997       -7.688041064964194E-21   -1.6142720737980172E-19  0.2                      1
0.057999999999999975      4.026058255877754E-20    1.0190091980209195E-19   0.2                      1
0.05999999999999998       -1.3460816002444178E-20  -2.7954251299135186E-20  0.2                      1
0.06199999999999998       2.7804393909530652E-21   5.045720673161164E-21    0.2                      1
0.06399999999999997       -3.3293158317496237E-22  -4.762466122718882E-22   0.2                      1
0.06599999999999998       -1.7271253392324648E-23  -6.529243850054876E-23   0.2                      1
0.06799999999999998       2.30006615426109E-23     4.473990936167937E-23    0.2                      1
0.06999999999999998       -7.663640035308728E-24   -1.2658631141992833E-23  0.2                      1
0.07199999999999998       1.706016782911716E-24    2.3628546389814243E-24   0.2                      1
0.07399999999999998       -2.551758308245439E-25   -2.3665229487317353E-25  0.2                      1
0.07599999999999998       1.0379744849956283E-26   -2.9243626084479683E-26  0.2                      1
0.07799999999999999       9.379840540668111E-27    2.2660887539767615E-26   0.2                      1
0.08                      -6.85100628955026E-27    -1.1290270417992369E-26  0.2                      1
